# vs_cfr 2960003-dirty seed=1 samples=128 throttle_ms=500 shim=/home/jdh8/.dotnet/dotnet /home/jdh8/src/hearts-engine/tournament/CfrShim/bin/Release/net10.0/CfrShim.dll
pair,seating,direction,deal_seed,cfr_seats,north,east,south,west,shooter,shooter_side,mc_attempts,mc_passes,passes_nesw,plays_by_trick,cfr_payoff
0,0,left,1,EW,26,26,0,26,S,mc,1,0,JCQCAH/JDADAS/ACKDKH/2C4CTC,N2CEJCS7CWAC/W7SNKSETSSAS/S8SWJSN5SE6S/W4SN3SETHS9S/S5CWKDN9CE8C/N2HE4HS5HW3H/SADW3DNTDE8D/SQDWQHN2DE7D/SJDWKHN4CEAH/S9DW7HNTCEKC/S6DW8HN2SEQC/S5DWJHNQSE6C/S4DW6HN9HE3C,-8.666667
0,1,left,1,NS,2,4,0,20,,,0,0,9CJCTD/ADTHAS/7CACKH/TCJHQH,W2CNTCEJCS5C/E6SS8SWJSN2S/WACNQCEKCSAS/W7SN5SETSS9S/E7DS5DW3DN2D/E3CSTHW7CNQS/WKHN9HE4HS5H/W8HN2HEJDSQD/W7HNQHE6CSKD/N3SE8CSADW4S/W4CNAHE9CS6D/E8DS4DW6HNKS/ETDS9DW3HNJH,7.333333
1,0,right,11400714819323198484,EW,2,0,0,24,,,0,0,ACQDQS/5DTH2S/JC7HKH/6D7DTD,E2CS9CWACN8C/WASNJSE9DS5S/WKSN9SEKHS4S/WTSN8SE7HSAD/W9HN6HEKDS6C/WJHNQHE7CS4C/N7SEKCSJDW6S/N2SEQCSTDW3S/WQDN5DE3DS8D/WAHNTHEJCS7D/W8HN5HETCS6D/W3HN2HE5CS4D/WQSN4HE3CS2D,-7.333333
1,1,right,11400714819323198484,NS,3,0,6,17,,,0,0,8CACQD/9DKDTH/9C7HKH/AHKSAS,E2CSJCW8CNKD/S4CWACNQSEKC/W3SN8SE2SSAS/S4SWTSN7SEQC/W6SNJSEKHSKS/S6CWJHN9DE5C/S4DW6DNTHE5D/W7DN5HE3DS2D/W8HN6HE7HSAH/S5SWQDN9SETC/N2HE9CSADW9H/W3HN4HE7CSJD/NQHE3CS8DWTD,2.666667
2,0,across,4354685564936845355,EW,22,4,0,0,,,0,0,ADKSAS/JC9DJH/JDQDAH/TCQCQH,S2CWJCNKCEAC/E6DSADW4DNKD/S6CWJHN9CEQC/EQHSTHWTDN7H/E5CS3CW5DN4C/E2DSASW8DNJD/N6SE3SS9SWTS/W8SN2SE5SSKS/S2HW9DN6HEQS/NQDE7CS9HW3D/N4HE4SS3HW7D/NKHE8CS8HW7S/NAHETCS5HWJS,6.000000
2,1,across,4354685564936845355,NS,5,17,0,4,,,0,0,KDADAS/ACJHQS/2CJDQD/TCQCQH,N2CETCS6CWAC/W7SN6SE5SSAS/S9SW8SN2SE4S/SKDWTDNJDE9D/S3CWJHNKCEQC/N4HEQHSTHWQS/E3SSADWTSNKS/NQDE6DS3HW8D/N7HEJCS5HWJS/N9CE8CS9HW7D/N4CE5CSAHW5D/E2DS8HW3DN6H/W4DNKHE7CS2H,5.333333
3,0,hold,15755400384260043838,EW,7,4,0,15,,,0,0,///,W2CN6CEJCSKC/S8CWTCN7CEAH/W5HN2HE9HS7H/E8SS6SWASNQS/W4HNTHE6HS3H/N9SE4SSKSW5S/SJHW8HNQHEKD/N4CE7SS5CW9C/WJDNKHE5DS8D/WTDNACEADSQD/E7DS4DW9DNQC/W2DNJSE6DS3S/E3DS2SW3CNTS,-4.000000
3,1,hold,15755400384260043838,NS,7,5,1,13,,,0,0,///,W2CN7CEJCSKC/S8DW9DNQSE7D/WASN9SE8SS6S/W5SNTSE7SSKS/S8CW9CN6CEAD/W3CNACE4SS5C/NJSEAHS2SWTC/N2HE6HS3HW5H/E3DSQDWJDNQH/S4DW2DNTHEKD/E9HS7HW8HNKH/N4CE6DSJHW4H/NQCE5DS3SWTD,3.333333
4,0,left,8709371129873690709,EW,17,6,3,0,,,0,0,JDKDKH/4DTD8H/ADAHKS/4CACQS,N2CEKCSQCWKS/E7SS6SWJHN2S/E5CS6CWAHN4C/S4DW2DN3DEKD/E4SSQHW9DNTS/N3HE7HS5HW6H/E3CS8CWQDNAC/N8DEJDSTDW7D/E5SS8HWADN9S/N7CEKHSJCW9H/S9CWTHNTCEAS/N8SEJSS6DW4H/E3SS5DW2HNQS,4.666667
4,1,left,8709371129873690709,NS,4,0,5,17,,,0,0,2C7CTC/KCTDAS/6D6SKS/4CACQS,E2CS9CWKSNAC/NJDE4DSTDWQD/W6SNTSEJSSAS/SQCWJHN4CETC/S5DW2DNKDE8H/N8DE7HSADW9D/S5HW4HN3HE7S/SQHWTHNKHE7C/N3DE5SSAHW7D/W6DNQSE3SSJC/W2HN8SE5CSKC/W6HN9SE4SS8C/W9HN2SE3CS6C,2.666667
5,0,right,1663341875487337576,EW,22,0,2,2,,,0,0,QDKDJH/9CQCAC/TDQHAS/4DADAH,W2CN6CE5CSKC/SADWKDNJDE9D/S3DWQDN8DETD/W7SN6SE9SSKS/S4DW9HN7DE6D/N3SEJSS2SW8S/E2DS5DWJHN6H/S4HW3HN5HE2H/N7CEASSAHW4C/NQCETHSQSWJC/N8CEKHS8HW3C/N9CE7HS5SWTC/WTSNACEQHS4S,7.333333
5,1,right,1663341875487337576,NS,26,26,0,26,S,cfr,0,0,JDQDKD/QCACKH/KC5DTD/AD9HAH,W2CNQCE9CS3D/N6SE9SSASWTS/SKSW8SN3SEJS/SQSW7SN7CETH/S9HW3HN5HE7H/S5SWKDN6HEKC/SAHWQDNKHE2H/SQHWJDNJHETD/SADW4DN7DE9D/S4HWJCNACE6D/S2SWTCN8CE5D/S4SW4CN6CE5C/S8HW3CN8DE2D,8.666667
6,0,across,13064056694810536063,EW,0,6,0,20,,,0,0,QC8HJH/2CTCAC/7D8DKS/QDADTH,W2CN8CETDSQC/S9SW4SN6SE7S/STSW3SN5SE8S/S3CWJCN5CETH/W4DN3DEQDS7C/E6HS5HW4HN2H/E9HS8HWASNKS/E2SSAHWJSNJD/W6CN4CEQSSKH/WTCN9DEADSQH/WACN8DEKDSJH/WKCN7DE6DS7H/W9CN5DE2DS3H,-8.666667
6,1,across,13064056694810536063,NS,14,7,0,5,,,0,0,5C8CQC/TCACQS/7D8DKS/QDADAS,E2CS8CW9CN4C/W4DN5DETDSQH/E2SSTSWJSNKS/N6SE7SS9SW4S/S5CW6CNJHEAS/WTHN8HE9HS7H/W4HN2HE6HS3H/E8SS5HW3SN5S/E2DSAHWQSN3D/N7DE6DS7CWAC/NJDEQDSQCWKC/EKDS3CWJCN9D/EADSKHWTCN8D,-0.666667
7,0,hold,6018027440424182930,EW,5,1,17,3,,,0,0,///,S2CWJCN7CEKC/E4DSKDW9DNAD/N5CE9CS8CWQC/W3CNQSE4CSTC/S6CWASNJSEAC/EKSS8SW5SNTS/E9SS7SWQHN3S/E4HS7HW3HN2H/STDW8DN5DEJD/E6HS4SWTHN9H/W8HNKHEJHS6S/N2SE5HS7DW6D/NAHE2DS3DWQD,6.000000
7,1,hold,6018027440424182930,NS,0,1,12,13,,,0,0,///,S2CW3CN7CEKC/E2DSTDW9DNAD/N5DEJDS7DW8D/E4DS3DW6DNQS/WASNTSEKSS8S/WJCN5CEACSTC/E9SS6SW5SNJS/N3SEJHS4SWQC/S7HW3HN2HE6H/S6CWQDNAHE9C/E4CS8CWQHNKH/S7SWTHN2SE5H/SKDW8HN9HE4H,0.666667
8,0,left,17418742259747381417,EW,3,0,8,15,,,0,0,6CQDKD/THJHKH/AHKSAS/6D7DQS,W2CNJDEQCSAC/SJSW8SNTSE4S/S3SWASNQSE7S/WKSN9SE5SSJC/W8CN9DE6CS9C/S4DWKCN3DEAD/E4CS7CW5CN6S/STCW3CN5DE7H/S3HW2HN4HEKD/N6HETDSTHW5H/SJHW8HN8DEQD/SQHW9HN7DE2S/SKHWAHN6DE2D,-1.333333
8,1,left,17418742259747381417,NS,2,9,14,1,,,0,0,6CQDKD/ADJHKH/AC4DKS/KC7DQS,W2CNKCEQCS7C/N8DEQDSADW6D/SASWKSNQSE7S/SJCWACN6HE6C/W8SN6SE5SSJS/STCW8CNTSE4C/S9CW5CN9SETH/S3SW4DN9DE2S/S3HW2HN4HE7H/E2DSAHW9HN5D/N3DETDSJHW8H/E4SSQHW5HNJD/EKDSKHW3CN7D,-2.000000
9,0,right,10372713005361028284,EW,1,25,0,0,,,0,0,ACADKS/KC8DTD/4D9DJD/THAHAS,S2CWJCNKCEJD/N6SE9SSASWKS/S8SW7SNKHEJS/E5SSQCW2SN9H/E4SSAHWTCN8D/EQHSTHWKDN6H/E3SS8CWACN5D/E9DS8HW6DNTD/NQDE4DS9CW7D/N4HEJHS7HWAD/E5HS3HW4CN7C/EQSS2HW3DN5C/ETSS6CW3CN2D,-8.000000
9,1,right,10372713005361028284,NS,5,4,17,0,,,0,0,7CACKS/8DTDQH/2C8C9C/THAHAS,E2CSQCWJCN5C/S6CW4CNQHEKC/E5HS3HWKSN4H/E3SS8SW7SN6S/S2HWACNKHEJH/N6HEQSS8HWKD/S7HWTCN9HE8C/N5DE9CS9DW7D/SASW2SNTDEJS/S4DW3DNADETS/N2DE9SSJDW6D/STHW7CNQDE5S/SAHW3CN8DE4S,-6.000000
10,0,across,3326683750974675155,EW,3,0,10,13,,,0,0,ADTHAS/8DJDQD/KCJHKH/8C9CKS,S2CWACNKCE9C/WQCN4CE5CSJC/W9SN8SEJSSAS/S6SW8DN5SE4S/S3DWJDN9DEQS/WQDN7DE6HSAD/STHW7HN5HE3H/S4DWKDN2DEKS/W2HNJHE4HSTD/N2SE3SS7SWAH/S7CWQHNKHE3C/STCW8HN6DE8C/STSW9HN5DE6C,-0.000000
10,1,across,3326683750974675155,NS,0,0,12,14,,,0,0,4CTHAS/JDQDQS/TCJHKH/KDAHKS,S2CW8CNTCE6C/N5SE4SS6SW9S/WQSN8SEJSS7S/WJDN5DEKDSTD/E8DS4DWQDN7D/W9CNKHE5CS7C/W2HN5HE4HSTH/S3DWACN2DEAH/SASWQCN2SEKS/STSWQHNJHE3S/SKCW9HN9DE3C/S4CW8HNADE6H/SJCW7HN6DE3H,0.666667
11,0,hold,14727398570297873638,EW,20,4,0,2,,,1,0,///,E2CS9CWKCNAC/NADE6DSTDWJD/NJCETCS7CW8C/NQCE5CS6CW3C/N2DE5DS4DWKD/W5SNTSE9SSKS/S6SW7SNJSE4S/NQSE8SS2SWTH/NKHE9HSJHW4H/NASE3SS8HWAH/N9DE7HS6HWQD/W2HN8DEQHS5H/E4CS3HW7DN3D,4.666667
11,1,hold,14727398570297873638,NS,0,26,26,26,N,cfr,0,0,///,E2CS9CWKCNJC/W5SNJSE9SSKS/S6SW7SNTSE3S/N3DE5DSTDWJD/W8CNQCETCS7C/N9DE6DS4DWQD/W3CNACE5CS6C/NASE8SS2SWAH/NKHEQHSJHWTH/NQSE4SS5HW7D/NADE4CS3HWKD/N8DE7HS6HW4H/N2DE9HS8HW2H,8.666667
12,0,left,7681369315911520509,EW,9,4,13,0,,,0,0,QCACQH/KCQDAS/TDADKS/2C9CKH,N2CEACSKCWKD/EJSSASWQSN9S/SQDWTDN7DEJD/S2DW5DNKHE8D/E6SSJHW5SN4S/E6DS9HW4DNTH/E5CS3CWKSN8C/N4CEQCSJCWTS/E7CS6CW7SN9C/N6HE2HS5HW3H/N2SEQHS8HW9D/N3SE7HS4HWAD/N8SEAHSTCW3D,6.000000
12,1,left,7681369315911520509,NS,4,7,13,2,,,0,0,7DTHQH/KCAHAS/TDADKS/9CKHQS,W2CN9CE7CSKC/S2DW3DNKHEQD/E6SSASWKSNQS/S5HW3HN6HE2H/N4SEJSSJCWTS/E5CS3CWADN8C/N3SEQHSAHW7S/W4DNACE6DSTC/E7HS4HW5SN8S/ETHS8HWKDNQC/E7DS9HW5DN9S/E8DS6CW9DN4C/WTDN2SEJDSJH,-2.666667
13,0,right,635340061525167376,EW,0,22,4,0,,,0,0,8DADKS/THQHKH/KCAHQS/JCTDQD,N2CEKCSJCWKS/EACS9CW9HNQC/E8HS4HW6HN3H/E3DSQDW9DN5D/SJHW2HNTHEAH/E7DSTDW8DNKH/S6SW9SN2SE4S/WJSN8CEQSSTS/E4DS2DWADNTC/W3SNQHEKDSAS/S5CWJDN3CE4C/S7SW5SN7HE7C/S8SW6DN5HE6C,-6.000000
13,1,right,635340061525167376,NS,26,26,0,26,S,cfr,0,0,8DADKS/ACQHKH/5CKC2D/JCJDQD,N2CEKCS9CWKS/E4SSASWJSN2S/STSW9SNQHETH/SJHW9HN7HE8H/SQDWTDN5DEKD/E2DSJDW9DNKH/SAHW6HN5HE7D/S4HW2HN3HE7C/S6SW5SNACE6C/SQSW3SNQCE5C/S8SWADNTCE4D/SJCW8DN8CE4C/S7SW6DN3CE3D,8.666667
14,0,across,12036054880848365863,EW,19,0,1,6,,,2,0,KDKSAS/9CKCJD/9D6HAH/8CTCJC,N2CEJCS7CWKC/W9CN5CE8CS4C/WQDN9DEADSKD/E6SS7SW4SNJS/NACETCS2DWQS/NQCE6CSASWTD/N5DE7HS6DWJD/W8SN3CE3SS9S/STSW2SNAHE5S/S3DW7DNKHEQH/W2HN5HE3HSKS/N6HE4HS8DWJH/W9HNTHE8HS4D,4.666667
14,1,across,12036054880848365863,NS,17,0,4,5,,,0,0,5DKDTH/9CKCAD/4C7CAH/TCJHQS,N2CE6CS4DWKC/W4SNJSE6SS7S/NQCETCSTHWJC/N5HE4HS6HW2H/STSW8SNASEQS/NKSE5SS9SW2S/N3CEJDS5DW8C/W9HNKHEQHS9D/N4CEJHSKDW9C/W7DNAHE8HS3D/WTDNACE7HS6D/WQDN7CE3HS8D/WADN5CE3SS2D,-5.333333
15,0,hold,4990025626462012730,EW,2,9,0,15,,,0,0,///,S2CWKCN8CE9C/W8SN5SE9SSAS/S4CWTCNQSE3C/WTSNJSE4SSTH/NKDEKHSJDWTD/N3SE2SS7HW7S/W9DN5DEJHS8D/W5CNAHEJCS7C/E5HS4HW2HN3H/EQCS6CW7DNQH/E6SSADWQDN8H/EACS6DW9HN4D/EKSS3DW6HN2D,-7.333333
15,1,hold,4990025626462012730,NS,7,4,13,2,,,0,0,///,S2CWKCN8CEAC/E6SSASWTSNQS/S7CWTCNQHE9C/W2HN3HEJHS7H/E5HS4HW6HN8H/N5DEKHS3DWQD/W9HNAHEKSSTH/NKDEQCSJDWTD/N4DEJCSADW9D/S4CW5CNJSE3C/W7DN2DE9SS6D/W7SN3SE4SS8D/W8SN5SE2SS6C,-4.666667
16,0,left,16390740445785211217,EW,26,0,26,26,E,cfr,0,0,ACQHQS/9CJDKS/AD9HTH/9D5SAS,S2CWKCN8CE5C/W4CN6CEQCSJC/EQSS9SWTHNTS/EQHS3HW8HN5H/EAHSKSW4HNAS/EKDSJDWADNQD/W9HNTDEKHSTC/EACS9CW3CN9D/EJHS8SW2HN5S/E7SS4SW6HN3S/E7HS7DW8DN4D/E6SS7CW2DN2S/EJSS5DW6DN3D,8.666667
16,1,left,16390740445785211217,NS,1,20,5,0,,,0,0,8CACQH/JDKDKS/2CTCJC/KC9DAS,W2CNKCEACS7C/E6SS9SW5SNAS/NTDEJSS7DW8D/N6CE5CSTHW4C/N5HEJHS9HW8H/E7SS8SW6DN3S/S3HW2HNQSEAH/E8CSKSWTCNTS/W2DN4DEKHSAD/S4SW6HN2SEQH/S5DW4HN3DE7H/SKDWJCN9DEQC/SJDW3CNQDE9C,4.666667
17,0,right,9344711191398858084,EW,26,0,26,26,E,cfr,0,0,TDADKS/2CQC7D/AC9HKH/4CTCKC,N2CE8CSKCWAS/S5SW4SN7SE6S/N9SEQSS6HW3S/EQHSKDW3HNJH/EKHSJDW2HNTH/EACSJCW8SNQC/EAHSTCWTDN8H/E7HS9DWADN5H/E9HS9CWKSN4H/ETSS6CW2DN7D/E2SS5DWQDN7C/EJSS5CW4DN6D/E3DS4CW8DN3C,8.666667
17,1,right,9344711191398858084,NS,0,22,0,4,,,0,0,6DTDAD/QHAHQS/6H9HKH/TCKCAS,E2CSJCW4CN3C/S5DW4DN7CE7D/ETSS5SW8SN9S/E8CS6CW3HNQS/E6HSASW2HN5H/E7HSKCWADN4H/EJSSKDW4SNKS/N7SE6SS9DW3S/NTHEKHSJDWQD/E2SSTCWTDNQH/E3DS5CW6DNAH/W2DNJHE9HSAC/W8DN8HEQCS9C,8.666667
